38,222,165,95,39,9,1,1
143,5315,7354,2492,816,251,25,1
120,4946,18172,13644,5329,1434,91,0
139,2303,9638,27260,22631,7168,434,2
226,1688,4739,18462,70204,54992,2289,10
1003,1575,3001,6781,51332,684277,62347,42
177,301,479,707,1944,61486,149590,77
0,0,2,1,6,35,89,20
