BBTS1 (133),Buff,531.8927,23.348,21.15111,19.0999,18.48946
BBTS1 (137),Buff,539.5241,17.97752,17.28522,16.36003,15.03984
BBTS1 (139),Buff,526.0031,15.48645,15.10322,13.66129,13.34112
BBTS1 (14),Buff,569.7622,15.2324,14.65459,13.50289,12.66014
BBTS1 (141),Buff,529.4263,14.93057,13.72032,12.78728,11.64885
BBTS1 (142),Buff,558.0712,14.38116,14.14003,12.84092,12.1161
BBTS1 (143),Buff,523.1822,12.22257,11.61386,11.22932,10.84803
BBTS1 (144),Buff,527.2852,16.14089,12.83884,12.08736,11.65947
BBTS1 (145),Buff,519.2595,13.92465,12.00467,11.52612,11.3447
BBTS1 (146),Buff,525.2955,15.06803,13.51216,13.13054,12.59106
BBTS1 (151),Buff,611.0686,19.77916,18.73874,16.89856,16.74636
BBTS1 (152),Buff,596.8224,16.2437,15.32227,14.55915,13.76084
BBTS1 (154),Buff,567.3158,19.40341,16.36484,15.43436,14.80134
BBTS1 (155),Buff,551.4025,17.19924,16.64232,15.28335,13.89627
BBTS1 (158),Buff,493.0099,29.93029,27.03349,24.60377,23.39541
BBTS1 (159),Buff,507.2624,29.2496,28.10705,26.25569,25.09175
BBTS1 (16),Buff,534.3124,13.54375,12.59881,12.53727,11.62105
BBTS1 (173),Buff,569.7566,17.18812,15.25327,14.37555,13.89776
BBTS1 (174),Buff,552.446,15.36794,13.39087,12.79576,12.40913
BBTS1 (175),Buff,524.7258,16.10649,15.43141,14.76378,13.29312
BBTS1 (179),Buff,543.446,16.01082,14.27492,13.60147,12.1558
BBTS1 (18),Buff,582.4712,13.48224,12.72756,11.67931,11.11958
BBTS1 (182),Buff,482.2549,15.07034,12.08176,11.34083,11.04262
BBTS1 (184),Buff,488.1505,16.29524,15.92151,14.5932,14.07461
BBTS1 (188),Buff,534.9949,14.0104,13.0221,12.12137,11.7054
BBTS1 (190),Buff,554.7446,16.3512,15.77813,14.10099,13.16356
BBTS1 (191),Buff,543.52,15.23738,13.00915,12.56705,12.32974
BBTS1 (193),Buff,529.6522,22.75685,19.95115,19.30869,18.74055
BBTS1 (198),Buff,560.5131,17.39536,16.54207,15.17634,14.8043
BBTS1 (2),Buff,605.0151,19.58671,18.85919,17.72455,16.64364
BBTS1 (20),Buff,567.435,14.62992,13.89661,13.74282,13.18884
BBTS1 (21),Buff,575.8748,14.33796,13.86263,13.32597,12.44764
BBTS1 (22),Buff,616.9076,17.51945,17.02966,16.38805,15.59587
