B3 (16),Buff,737.0726,32.56604,31.67372,30.31672,28.13548,25.92826,25.12154,23.98454,21.87581,21.49549
B3 (17),Buff,724.4652,35.06088,31.69335,29.73366,28.09385,27.47383,25.42802,25.03868,23.38588,21.94939
B3 (18),Buff,721.4587,33.25069,29.67058,28.96832,26.49974,25.68621,24.90181,23.87524,22.17933,21.35768
B3 (19),Buff,721.9347,30.67213,28.81121,26.77784,24.88056,24.18317,23.54015,22.47843,20.99864,20.3212
B3 (2),Buff,693.9055,26.64442,25.94403,25.10691,24.64916,22.48638,21.69834,20.82722,20.07527,19.02859
B3 (20),Buff,733.5306,31.98581,28.50214,27.58821,26.64464,25.74027,23.85847,22.60279,21.53604,20.7099
B3 (21),Buff,750.263,28.73356,25.117,24.66805,22.85452,21.60471,21.3901,20.11171,19.78539,18.47789
B3 (23),Buff,785.536,27.87649,25.19352,23.64112,22.17258,21.13179,20.92011,19.59449,19.17863,18.37109
B3 (24),Buff,750.8447,27.39853,25.2509,23.99437,23.8773,21.76503,21.54084,20.92621,20.46153,19.88849
B3 (6),Buff,721.4289,31.11731,26.98454,26.44635,25.39894,23.01059,21.98043,21.14719,20.53574,20.08933
B3 (9),Buff,705.6717,33.89856,30.36757,28.9077,27.64698,25.67036,24.65439,22.3043,21.51155,21.09278
BBTS1 (1),Buff,578.0901,23.916,22.51777,18.59687,18.48499,16.61975,16.0452,15.35215,14.38527,13.70089
BBTS1 (10),Buff,607.5469,17.34438,15.82284,15.11183,13.62542,13.48948,11.88511,11.48693,11.19495,11.06359
BBTS1 (100),Buff,513.3087,19.31854,19.04042,17.03592,16.8501,15.62638,14.80374,14.34918,14.26437,13.88313
BBTS1 (101),Buff,517.2014,18.59279,18.41949,17.24848,15.61153,14.25159,13.42854,13.03738,12.61819,11.56796
BBTS1 (106),Buff,514.5789,18.30784,15.86286,14.83519,14.46473,13.47534,13.24908,12.00058,11.7665,11.57894
BBTS1 (107),Buff,530.1212,15.16008,14.8663,14.1842,12.54307,12.22906,11.58134,11.29238,11.03951,10.74188
BBTS1 (108),Buff,529.7217,18.47099,16.15182,15.45522,14.7736,13.75989,13.57102,13.15096,12.29196,11.74412
BBTS1 (109),Buff,562.6885,20.25203,18.69582,17.01778,15.90275,15.14873,14.50315,13.77243,13.31667,12.89413
BBTS1 (112),Buff,543.2334,18.08189,16.85763,15.92911,15.67607,14.7394,14.58565,13.43811,13.15041,12.15753
